MDCODIGO,MDNOME
90269500,AAS ADULTO 500MG / (CP)                                                         
90269489,AAS INFANTIL 100MG / (CP)                                                       
90217721,AAS PROTECT 100 MG (CPR)                                                        
90123298,ABELCET 100MG (5MG/ML) SUSP. INJ. 20ML+AG. (UND)                                
90034880,ABILIFY 15MG (CPR)                                                              
90034902,ABILIFY 20MG (CPR)                                                              
90034929,ABILIFY 30MG (CPR)                                                              
94278296,ABRILAR 1400MG (7MG/ML) SOL. ORAL 200ML (ML)                                    
90015347,ACCOLATE 20MG (CPR)                                                             
90130421,ACCUPRIL 10MG (CPR)                                                             
90130430,ACCUPRIL 20MG (CPR)                                                             
90115821,ACEBROFILINA 1200MG (10MG/ML) XPE. AD. 120ML (ML)                               
90115830,ACEBROFILINA 600MG (5MG/ML) XPE. PED. 120ML (ML)                                
90185889,ACECLOFENACO 100MG (CPR)                                                        
90081145,ACECLOFENACO 450MG (15MG/G) CREME DERM. 30G (GRA)                               
90232976,ACETATO CLOSTEBOL+SULF. NEOM. 150MG (5MG/G+5MG/G) CREME 30G (GRA)               
90232968,ACETATO CLOSTEBOL+SULF. NEOM. 225MG (5MG/G+5MG/G) CREME VAG. 45G (UND)          
90135059,ACETATO DE HIDROCORTISONA 10MG/G CREM DERM 30G / (GRA)                          
90120663,"ACETATO DESMOPRESSINA 0,25MG (0,1MG/ML) SOL. NAS. SPRAY 2,5ML (DOSE)            "
90081153,ACETATO DEXAMETASONA 10MG (1MG/G) CREME DERM. 10G (GRA)                         
90005759,ACETATO PREDNISOLONA 1% 50MG (10MG/ML) SUSP. OFT. 5ML (GTS)                     
90081161,ACETILCISTEÍNA 100MG GRAN. ENV. 5G (UND)                                        
90081196,ACETILCISTEINA 200MG GRAN. ENV. 5G (UND)                                        
90081218,ACETILCISTEINA 2400MG (20MG/ML) XPE. 120ML (ML)                                 
90081226,ACETILCISTEINA 4800MG (40MG/ML) XPE. 120ML (ML)                                 
90264835,ACETILCISTEINA 600 MG GRAN. ENV. 5 G (UND)                                      
90274342,ACETILCISTEINA 600 MG GRAN. ENV. 5 G (UND)                                      
90081269,ACETONIDO TRIANCINOLONA 10MG (1MG/G) POM BUCAL 10G (GRA)                        
95470379,ACHEFLAN 150MG (5MG/G) CREME DERM. 30G (GRA)                                    
90177827,ACICLOVIR 200 MG (CPR)                                                          
90135075,ACICLOVIR 250 MG. PO LIOF. INJ (UND)                                            
90159349,ACICLOVIR 400MG (CPR)                                                           
90150937,ACICLOVIR 500MG (50MG/G) CREME 10G (GRA)                                        
90051858,ÁCIDO ACETILSALICÍLICO 100 MG (CPR)                                             
90256255,ÁCIDO ACETILSALICÍLICO 500 MG (CPR)                                             
90124618,ACIDO MEFENÂMICO 500 MG (CPR)                                                   
90065832,ACIDO ZOLEDRONICO  4 MG SOL. INJ. IV FA X 5 ML (UND)                            
90169255,ACLASTA 5MG SOL. INJ. 100ML (UND)                                               
90184050,ACTEMRA  200MG - 20 MG/ML SOL. INJ. INFUS. IV FA X 10 ML (UND)                  
90184076,ACTEMRA 80MG - 20 MG/ML SOL. INJ. INFUS. IV FA X 4 ML (UND)                     
90073711,"ACTIFEDRIN 60MG+2,5MG (CPR)                                                     "
90073720,"ACTIFEDRIN 6MG/ML+0,25MG/ML XPE 100ML (ML)                                      "
90032586,ACTILYSE 50 MG PÓ LIÓF. INJ.+DIL. 50ML+CÂNULA (UND)                             
90193393,ACTONEL 35 MG (CPR)                                                             
90193415,ACTONEL 5 MG (CPR)                                                              
90000021,ACTOS 15 MG (CPR)                                                               
90000030,ACTOS 30 MG (CPR)                                                               
90000048,ACTOS 45 MG (CPR)                                                               
90006224,ACULAR 25MG (5MG/ML) SOL. OFT. 5ML (GTS)                                        
94131465,ADALAT 10MG (CAP)                                                               
94131473,ADALAT OROS 20MG (CPR)                                                          
94131481,ADALAT OROS 30MG (CPR)                                                          
94131490,ADALAT OROS 60MG (CPR)                                                          
95366695,ADALAT RETARD 10MG (CPR)                                                        
94131503,ADALAT RETARD 20MG (CPR)                                                        
90260503,ADEFORTE SOL. ORAL AMP 3 ML (AMP)                                               
90143787,ADENOCARD 6MG (3MG/ML) SOL. INJ. 2ML (AMP)                                      
94614024,ADEROGIL D3 SOL. ORAL FR. 10 ML (GTS)                                           
95366784,ADPREX 300 MG (CAP)                                                             
90095740,ADREN 1 MG/ML SOL INJ X 1 ML / HIPOLABOR (AMP)                                  
90130456,ADRIBLASTINA RD PO LIOF. INJ. (MG)                                              
90173805,AD-TIL 50.000UI/ML+10.000UI/ML SOL. ORAL 10ML (GTS)                             
95366806,"ADVANTAN 0,1% 15MG (1 MG/G) CREME DERM. BISN. 15G (GRA)                         "
90091019,AEROCORT S (50MCG+100MCG) SPRAY (DOSE)                                          
90087860,"AEROLIN 0,5 MG SOL. INJ. 1ML (AMP)                                              "
90087925,AEROLIN 100 MCG SPRAY C/ APLIC. (DOSE)                                          
90087844,AEROLIN 2MG (CPR)                                                               
90087933,AEROLIN 48MG XAROPE 120ML (ML)                                                  
90087852,AEROLIN 4MG (CPR)                                                               
90087917,AEROLIN 5 MG/ML SOL. P/ NEBULIZACAO 10ML (ML)                                   
90147472,"AFRIN 0,25 MG SOL. OFT. FR. 20 ML (GTS)                                         "
90147480,"AFRIN 12 H AD. 0,5MG/ML SOL. NASAL SPRAY 10ML (ML)                              "
90147464,"AFRIN PEDIÁTRICO 0,25MG/ML SOL. NASAL 20ML (GTS)                                "
90147502,AFRIN SOL. NATURAL SPRAY 30ML (ML)                                              
94269602,AGAROL EMUL. ORAL FR. 240ML (ML)                                                
90169280,"AGASTEN 0,05MG/ML XPE FR. 120ML (ML)                                            "
90169298,AGASTEN 1MG (CPR)                                                               
90087950,AGENERASE 15 MG/ML SOL. ORAL FR. 240ML (ML)                                     
90087941,AGENERASE 150MG (CAP)                                                           
95367179,AGIOLAX 5 G (UND)                                                               
90060393,AGLUCOSE 100 MG (CPR)                                                           
90060407,AGLUCOSE 50 MG (CPR)                                                            
90013344,"AGRASTAT 0,25 MG/ML SOL. INJ. FA 50 ML (UND)                                    "
90227255,ÁGUA P/ INJECAO 10ML (AMP)                                                      
90227263,ÁGUA P/ INJEÇÃO 20ML (AMP)                                                      
90227271,ÁGUA P/ INJEÇÃO 5ML (AMP)                                                       
90094280,AGUA P/ INJECAO BOLSA SIST. FECH. 1000ML (UND)                                  
90074769,ÁGUA P/ INJEÇÃO BOLSA SIST. FECH. 100ML (UND)                                   
90022106,AGUA P/ INJECAO BOLSA SIST. FECH. 125ML (UND)                                   
94281270,AGUA P/ INJECAO BOLSA SIST. FECH. 250ML (UND)                                   
94281262,ÁGUA P/ INJEÇÃO BOLSA SIST. FECH. 500ML (UND)                                   
90065182,ÁGUA P/ INJEÇÃO FRASCO SIST. FECH. 1000ML (UND)                                 
90065239,ÁGUA P/ INJEÇÃO FRASCO SIST. FECH. 100ML (UND)                                  
90122224,AGUA P/ INJECAO FRASCO SIST. FECH. 125ML (UND)                                  
90065212,AGUA P/ INJECAO FRASCO SIST. FECH. 250ML (UND)                                  
90065190,AGUA P/ INJECAO FRASCO SIST. FECH. 500ML (UND)                                  
90002750,"AIRCLIN 0,5 MG/ML SOL. NASAL SPRAY 15 ML (DOSE)                                 "
90000099,AKINETON 2MG / (CP)                                                             
90000102,AKINETON RETARD 4MG (CPR)                                                       
90051955,ALBENDAZOL  200  MG / EMS (CP)                                                  
90151003,ALBENDAZOL 400 MG (CPR)                                                         
90135148,ALBENDAZOL 400MG (40MG/ML) SUSP. ORAL 10ML (ML)                                 
90173813,ALBOCRESIL 18MG/G GEL VAGINAL 50G+APLIC. (UND)                                  
90173821,ALBOCRESIL 360MG/ML SOL. VAG. FR. 12 ML (UND)                                   
90173830,ALBOCRESIL 90 MG ÓVULOS (UND)                                                   
90029828,ALBUMAX 20% SOL. INJ. FA 50 ML+EQUIPO (UND)                                     
90093062,ALBUMINA HUMANA 20% SOL. INJ. FA 10ML (UND)                                     
90019563,ALBUMINA SÉRICA HUMANA 20% SOL. INJ. 50ML+EQUIPO (UND)                          
90048776,ALBUREX 20% SOL. INJ. 50ML (UND)                                                
94089884,"ALCOOL IODADO 0,1% (ML)                                                         "
90130464,ALDACTONE 100MG (CPR)                                                           
90130472,ALDACTONE 25MG (CPR)                                                            
90130480,ALDACTONE 50MG (CPR)                                                            
94269483,"ALDARA 50MG/G CREME DERM. SACHES 0,25G (UND)                                    "
90130499,ALDAZIDA 50MG+50MG (CPR)                                                        
90013352,ALDOMET 250MG (CPR)                                                             
90013360,ALDOMET 500MG (CPR)                                                             
90052005,ALENDRONATO DE SÓDIO 70MG / (CP)                                                
